partset,sumPij,sumAij,grpN,mod,Q,slope,r,sg2,SweepMarkerx,sweepmarkery
g_50_5,31641.149084,108258,10,0.7408388403,92437.425458,-31641.14908,0.5,3,0.5,92437.425458
g_55_5,30511.927933,107656,11,0.7283123057,90874.439637,-30511.92793,0.55,11,0.55,90874.439637
g_60_2,30419.461682,107614,11,0.7161934617,89362.322991,-30419.46168,0.6,13,0.6,89362.322991
g_65_3,30283.444883,107530,11,0.7040389891,87845.760826,-30283.44488,0.65,17,0.65,87845.760826
g_70_1,20438.220334,101932,12,0.7022716733,87625.245766,-20438.22033,0.7,20,0.7,87625.245766
g_75_1,20416.908682,101916,12,0.6940814472,86603.318488,-20416.90868,0.75,22,0.75,86603.318488
g_80_4,20154.292689,101712,12,0.6859487221,85588.565849,-20154.29269,0.8,30,0.8,85588.565849
g_85_5,18588.898408,100198,15,0.6764024264,84397.436353,-18588.89841,0.85,33,0.85,84397.436353
g_90_4,18395.150255,100024,14,0.6689563913,83468.36477,-18395.15026,0.9,40,0.9,83468.36477
g_95_3,17725.900572,99344,15,0.6612306607,82504.394457,-17725.90057,0.95,43,0.95,82504.394457
g_100_4,17412.97687,99058,15,0.6543432376,81645.02313,-17412.97687,1,50,1,81645.02313
g_105_4,16563.214644,98150,16,0.6472392055,80758.624624,-16563.21464,1.05,55,1.05,80758.624624
g_110_2,16208.19698,97832,16,0.6411831257,80002.983322,-16208.19698,1.1,64,1.1,80002.983322
g_115_4,16134.915383,97720,15,0.6344658928,79164.84731,-16134.91538,1.15,65,1.15,79164.84731
g_120_4,16058.170692,97698,16,0.6285620015,78428.195169,-16058.17069,1.2,70,1.2,78428.195169
g_125_1,16063.155,97698,16,0.6220771655,77619.05625,-16063.155,1.25,68,1.25,77619.05625
g_130_5,15913.254796,97478,16,0.6154388636,76790.768765,-15913.2548,1.3,73,1.3,76790.768765
g_135_5,15614.63954,97088,17,0.6091672674,76008.236621,-15614.63954,1.35,87,1.35,76008.236621
g_140_1,15457.798547,96834,17,0.6026342189,75193.082034,-15457.79855,1.4,93,1.4,75193.082034
g_145_5,15608.619247,97070,17,0.5965786309,74437.502092,-15608.61925,1.45,88,1.45,74437.502092
g_150_5,15265.600365,96558,19,0.5903441378,73659.599452,-15265.60037,1.5,101,1.5,73659.599452
g_155_4,14764.171718,95794,19,0.5843327443,72909.533837,-14764.17172,1.55,109,1.55,72909.533837
g_160_3,12208.43602,92146,19,0.5819521885,72612.502368,-12208.43602,1.6,114,1.6,72612.502368
g_165_5,12360.313735,92336,17,0.576574305,71941.482338,-12360.31373,1.65,112,1.65,71941.482338
g_170_2,10137.116883,88640,20,0.5722899105,71406.901299,-10137.11688,1.7,126,1.7,71406.901299
g_175_2,9989.0615991,88296,20,0.5675472631,70815.142202,-9989.061599,1.75,129,1.75,70815.142202
g_180_5,9808.9247436,88116,21,0.5647004621,70459.935461,-9808.924744,1.8,132,1.8,70459.935461
